name,honor,class,LWHonor,standing,rank,rankProgress,RP
Jeohunter,75760,HUNTER,104985,1367,5,0.47843140084296,17393
Nabukadnezar,75673,PALADIN,18335,3155,3,0.40392159251496,7020
Stenen,75058,PALADIN,118983,1215,4,0.85882358020172,14295
Manmm,74631,PRIEST,15727,0,6,0.05490196403116,20275
Ooge,74468,PALADIN,0,0,3,0.9725490771234,9863
Starmonth,74141,MAGE,104456,1371,4,0.51764708943665,12589
Moonshell,73963,ROGUE,142991,998,4,0.78039220301434,13902
Floppi,73836,ROGUE,147875,960,6,0.050980395171791,20255
Emziaa,73826,MAGE,395541,162,6,0.50588238285854,22530
Unrealunity,73802,MAGE,93629,1506,6,0.64313729293644,23216
Zaniliaying,73772,HUNTER,172739,781,4,0.92156868195161,14608
Littleirene,73767,MAGE,620,0,1,0.31764707760885,0
Huiyiguoqu,73766,WARLOCK,125501,1129,8,0.26666668243706,31334
Bigdamage,72868,ROGUE,229023,406,5,0.68235298153013,18412
Deadlyelf,72698,ROGUE,173619,774,6,0.93333338852972,24667
Itit,72568,ROGUE,162221,855,4,0.39607845479622,11981
Beardhead,72544,PALADIN,109087,1323,4,0.40392159251496,12020
Chococookie,72412,PRIEST,271142,280,8,0.91764711309224,34589
